"Branch
 Name","Branch
Group","Data
Type",MC Only?,"Which Trees Is 
This Filled In?
(MasterAnaDev, Truth, Meta)","Branch 
Content Description","Branch 
Use Description
(MAT/MAT-MINERvA
locations/analyses)",Public-facing Document,
"part_response_recoil_allNonMuonClusters_unused_<subdetector>_<particle>_<id/od/"""">",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_unused_<subdetector>_<particle>_<id/od/"""">_err",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Used in particle response systematics,,
part_response_total_recoil_passive_allNonMuonClusters_unused_<subdetector>,Particle Response and Systematics,Double,No,MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the total subdetector passive-corrected, calibrated energies",Used in defining particle response,,
part_response_recoil_isoBlobIDClusters_<subdetector>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"Same as ""allNonMuonClusters"", but with the extra restriction of being the clusters in the isolated inner detector blobs (reconstruction geared towards non-neutron isolated activity)",Used in particle response systematics,,
"part_response_recoil_isoBlobIDClusters_<subdetector>_<particle>_<id/od/"""">",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Used in particle response systematics,,
"part_response_recoil_isoBlobIDClusters_<subdetector>_<particle>_<id/od/"""">_err",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Used in particle response systematics,,
part_response_total_recoil_passive_isoBlobIDClusters_<subdetector>,Particle Response and Systematics,Double,No,MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the total subdetector passive-corrected, calibrated energies",Used in defining particle response,,
part_response_recoil_allNonMuonClusters_primaryHadronsRemoved_<subdetector>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"Same as ""allNonMuonClusters"", but with the extra restriction of not being a part of any tracks ""primary Hadrons"" whose information is stored in container branches below for careful separation",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_primaryHadronsRemoved_<subdetector>_<particle>_<id/od/"""">",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Used in particle response systematics,,
"part_response_recoil_allNonMuonClusters_primaryHadronsRemoved_<subdetector>_<particle>_<id/od/"""">_err",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Used in particle response systematics,,
part_response_total_recoil_passive_allNonMuonClusters_primaryHadronsRemoved_<subdetector>,Particle Response and Systematics,Double,No,MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the total subdetector passive-corrected, calibrated energies",Used in defining particle response,,
part_response_container_recoil_passive_primaryHadrons_<subdetector>_nClus_sz,Particle Response and Systematics,Int,No,MasterAnaDev,"Number of ""Primary Hadrons"" or charged particles tracked to the vertex.",Used to add in or remove selections of tracks from recoil variables.,,
part_response_container_recoil_passive_primaryHadrons_<subdetector>_nClus[part_response_container_recoil_passive_primaryHadrons_<subdetector>_nClus_sz],Particle Response and Systematics,Int,No,MasterAnaDev,"Number of clusters associated with the give ""Primary Hadron"" in the subdetector in question. Subdetectors follow the same treatment as the ""allNonMuonClusters"" nClus branch described above.",Used to add in or remove selections of tracks from recoil variables.,,
"part_response_container_recoil_passive_primaryHadrons_<subdetector>_<particle>_<id/od/"""">_sz",Particle Response and Systematics,Int,"Essentially yes, Size is still of the number of tracks, but the related info below is not filled",MasterAnaDev,"Number of ""Primary Hadrons"" or charged particles tracked to the vertex.",Used to add in or remove selections of tracks from recoil variables.,,
"part_response_container_recoil_passive_primaryHadrons_<subdetector>_<particle>_<id/od/"""">[part_response_container_recoil_passive_primaryHadrons_<subdetector>_<particle>_<id/od/"""">_sz]",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"Same as ""allNonMuonClusters"" energy per particle/per subdetector treatement, but for each ""Primary Hadron""",Used to add in or remove selections of tracks from recoil variables.,,
"part_response_container_recoil_passive_primaryHadrons_<subdetector>_<particle>_<id/od/"""">_err_sz",Particle Response and Systematics,Int,"Essentially yes, Size is still of the number of tracks, but the related info below is not filled",MasterAnaDev,"Number of ""Primary Hadrons"" or charged particles tracked to the vertex.",Used to add in or remove selections of tracks from recoil variables.,,
"part_response_container_recoil_passive_primaryHadrons_<subdetector>_<particle>_<id/od/"""">_err[part_response_container_recoil_passive_primaryHadrons_<subdetector>_<particle>_<id/od/"""">_err_sz]",Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"Same as ""allNonMuonClusters"" energy per particle/per subdetector treatement shifted by their uncertainties, but for each ""Primary Hadron""",Used to add in or remove selections of tracks from recoil variables.,,
part_response_container_total_recoil_passive_primaryHadrons_<subdetector>_sz,Particle Response and Systematics,Int,No,MasterAnaDev,"Number of ""Primary Hadrons"" or charged particles tracked to the vertex.",Used to add in or remove selections of tracks from recoil variables.,,
part_response_container_total_recoil_passive_primaryHadrons_<subdetector>[part_response_container_total_recoil_passive_primaryHadrons_<subdetector>_sz],Particle Response and Systematics,Double,No,MasterAnaDev,"See description in `""allNonMuonClusters"" named branches for the total subdetector passive-corrected, calibrated energies, but this is per ""Primary Hadron""",Used to add in or remove selections of tracks from recoil variables.,,
part_response_recoil_dispr_id_and_blobbed_<energy/energy_wNuclTargs>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"LEGACY BRANCH. Number of clusters which fall into the category of ""disperse energy and blobbed energy"". This is in-time-with-the-vertex (-20, 35 ns window) Inner Detector clusters which are not marked low activity or Cross-talk candidates, and are not used in tracks/vertex blobs/primary lepton-attached activity. Cluster Description remains for the following branches with the name ""dispr_id_and_blobbed"". The ""energy"" version is just the tracker and downstream ECAL. The ""wNuclTargs"" add the nuclear target region.",Legacy Use in CCQELike Analyses,,
part_response_recoil_dispr_id_and_blobbed_<energy/energy_wNuclTargs>_<particle>_<id/od>,Particle Response and Systematics,Double,"Essentially yes, Data values are defaults",MasterAnaDev,"LEGACY BRANCH: See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Legacy Use in CCQELike Analyses,,
part_response_recoil_dispr_id_and_blobbed_<energy/energy_wNuclTargs>_<particleType>_<id/od>_err,Particle Response and Systematics,Double,"Essentially yes, Data values are defaults",MasterAnaDev,"LEGACY BRANCH: See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Legacy Use in CCQELike Analyses,,
part_response_recoil_nonMuonNonVtx<0mm/0mm_wNuclTargs/100mm/100mm_wNuclTargs>_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"LEGACY BRANCH. Number of clusters which fall into the category of ""non-primary lepton and non-vtx"". This is in-time-with-the-vertex (-20,35 ns window) Inner Detector tracker and downstream ECAL clusters which are not marked low activity or Cross-talk candidates, and are not primary lepton-attached activity. Cluster Description remains for the following branches with the name ""nonprimary leptonNonVtx"". The distance measure 0 or 100 mm is how far from the vertex the clusters must be. The ""wNuclTargs"" includes the target region with the same constraints.",Legacy Use in CCQELike Analyses,,
part_response_recoil_nonMuonNonVtx<0mm/0mm_wNuclTargs/100mm/100mm_wNuclTargs>_<particle>_<id/od>,Particle Response and Systematics,Double,"Essentially yes, Data values are defaults",MasterAnaDev,"LEGACY BRANCH: See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Legacy Use in CCQELike Analyses,,
part_response_recoil_nonMuonNonVtx<0mm/0mm_wNuclTargs/100mm/100mm_wNuclTargs>_<particleType>_<id/od>_err,Particle Response and Systematics,Double,"Essentially yes, Data values are defaults",MasterAnaDev,"LEGACY BRANCH: See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Legacy Use in CCQELike Analyses,,
part_response_recoil_passive_nClus,Particle Response and Systematics,Int,No,MasterAnaDev,"LEGACY BRANCH. Number of clusters which fall into the category of ""recoil"". This is in-time-with-the-vertex (-20,35 ns window) Inner Detector clusters which are not marked Cross-talk candidates, and are not primary lepton-attached activity. Cluster Description remains for the following branches with the name ""passive"".",Legacy Use in CCQELike Analyses,,
part_response_recoil_passive_<particle>_<id/od>,Particle Response and Systematics,Double,"Essentially yes, Data values are defaults",MasterAnaDev,"LEGACY BRANCH: See description in `""allNonMuonClusters"" named branches for the true particle content of the recoil branches",Legacy Use in Charge Pion Analysis,,
part_response_recoil_passive_<particleType>_<id/od>_err,Particle Response and Systematics,Double,"Essentially yes, Data values are defaults",MasterAnaDev,"LEGACY BRANCH: See description in `""allNonMuonClusters"" named branches for the uncertainty-shifted recoil true particle content.",Legacy Use in Charge Pion Analysis,,
part_response_total_recoil_passive_<id/od>,Particle Response and Systematics,Double,No,MasterAnaDev,"LEGACY BRANCH: Total amount of passive-material corrected, calibrated energy in cluster set in question, for the inner detector ""id"" and outer detector ""od""",Legacy Use in Charge Pion Analysis,,
part_response_container_recoil_passive_nClus_sz,Particle Response and Systematics,Int,No,MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_recoil_passive_nClus[part_response_container_recoil_passive_nClus_sz],Particle Response and Systematics,Int,No,MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_recoil_passive_<particle>_<id/od>_sz,Particle Response and Systematics,Int,"Essentially yes, Size is still of the number of tracks, but the related info below is not filled",MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_recoil_passive_<particle>_<id/od>[part_response_container_recoil_passive_<particle>_<id/od>_sz],Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_recoil_passive_<particle>_<id/od>_err_sz,Particle Response and Systematics,Int,"Essentially yes, Size is still of the number of tracks, but the related info below is not filled",MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_recoil_passive_<particle>_<id/od>_err[part_response_container_recoil_passive_<particle>_<id/od>_err_sz],Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_total_recoil_passive_<id/od>_sz,Particle Response and Systematics,Int,"Essentially yes, Size is still of the number of tracks, but the related info below is not filled",MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
part_response_container_total_recoil_passive_<id/od>[part_response_container_total_recoil_passive_<id/od>_sz],Particle Response and Systematics,Double,"Essentially yes, Data Values are defaults",MasterAnaDev,"LEGACY BRANCH: Same as ""primaryHadrons"" above, but without the full subdetector breakdowns",Legacy Use in Charge Pion Analysis,,
,,,,,,,,
pi0_E,Pi0,Double,No,MasterAnaDev,Reconstructed total energy of the pi0   [MeV] ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_E_Cal,Pi0,Double,No,MasterAnaDev,Sum of pi0 gammas individual energies ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_KE,Pi0,Double,No,MasterAnaDev,E reco - inv mass reco [MeV] ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_P,Pi0,Double,No,MasterAnaDev,P0 reco momentum ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_cos_openingAngle,Pi0,Double,No,MasterAnaDev,Cosine of the pi0 opening angle ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_invMass,Pi0,Double,No,MasterAnaDev,Reconstructed pi0 invariant mass  [MeV] ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_invMass_Old,Pi0,Double,No,MasterAnaDev,Legacy Reconstructed pi0 invariant mass for comparison  [MeV] ,Not properly calibrated User should rebuilt from individual gammas,,
pi0_openingAngle,Pi0,Double,No,MasterAnaDev,pi0 opening angle [rad],,,
pi0_phi,Pi0,Double,No,MasterAnaDev,Phi angle wrt beam of pi0 [rad],,,
pi0_px,Pi0,Double,No,MasterAnaDev,x projection of pi0 P  [MeV] ,,,
pi0_py,Pi0,Double,No,MasterAnaDev,y projection of pi0 P  [MeV],,,
pi0_pz,Pi0,Double,No,MasterAnaDev,z projection of pi0 P   [MeV],,,
pi0_theta,Pi0,Double,No,MasterAnaDev,Theta angle of the pi0 [rad],,,
pi0_thetaX,Pi0,Double,No,MasterAnaDev,X projection of the theta angle of the pi0 [rad],,,
pi0_thetaY,Pi0,Double,No,MasterAnaDev,Y projection of the theta angle of the pi0 [rad],,,
gamma1_E,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the highest energy reconstructed gamma (gamma1)  [MeV] ,Not properly calibrated : Recalibrated gamma energy: gamma1_energy_trkr * .97 + gamma1_evis_ecal * 3.1880501 + gamma1_energy_scal_UV*.97 + gamma1_energy_scal_X*0.97,,
gamma1_E_Old,Pi0,Double,No,MasterAnaDev,Legacy reconstructed energy of gamma 1  [MeV] ,,,
gamma1_P,Pi0,Double,No,MasterAnaDev,Reconstructed momentum of gamma1  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma1_dEdx,Pi0,Double,No,MasterAnaDev,"dE/dX measurement of gamma1 using the first 4 planes of the shower dEdx/4planes  --> dE is not calibrated for passive correction, dX is in unit of planes (/2.5cm)",,,
gamma1_dist_vtx,Pi0,Double,No,MasterAnaDev,Distance to vertex of gamma1  [mm],,,
gamma1_energy_ecal,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma1 in the ECAL  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma1_energy_hcal,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma1 in the HCAL  [MeV] (=0 by default),Not properly calibrated User should rebuilt from individual gammas,,
gamma1_energy_scal_UV,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma1 in the UV views of side cal  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma1_energy_scal_X,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma1 in the X view of side cal [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma1_energy_trkr,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma1 in the tracker [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma1_evis_ecal,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma1 in the ECAL  [MeV],,,
gamma1_evis_hcal,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma1 in the HCAL  [MeV] (=0 by default),,,
gamma1_evis_scal_UV,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma1 in the UV views of side cal  [MeV],,,
gamma1_evis_scal_X,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma1 in the X view of side cal [MeV],,,
gamma1_evis_trkr,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma1 in the tracker [MeV],,,
gamma1_maxZ,Pi0,Double,No,MasterAnaDev,Highest Z position of the gamma1,,,
gamma1_phi,Pi0,Double,No,MasterAnaDev,Phi angle wrt beam of gamma1 [rad],,,
gamma1_px,Pi0,Double,No,MasterAnaDev,x projection of gamma1 [MeV],,,
gamma1_py,Pi0,Double,No,MasterAnaDev,y projection of gamma1 [MeV],,,
gamma1_pz,Pi0,Double,No,MasterAnaDev,z projection of gamma1 [MeV],,,
gamma1_theta,Pi0,Double,No,MasterAnaDev,theta angle wrt beam of gamma1 [rad],,,
gamma1_time,Pi0,Double,No,MasterAnaDev,Average time of the blob with respect to the start of the slice (not sure about the unit),,,
gamma1_direction[3],Pi0,Double,No,MasterAnaDev,3D vector of the gamma1 direction based on the energy barycenter composing the shower,,,
gamma1_end_vertex[3],Pi0,Double,No,MasterAnaDev,Legacy code not filled,,,
gamma1_vertex[3],Pi0,Double,No,MasterAnaDev,3D vector with the vertex of the shower,,,
truth_gamma1_PDG,Pi0,Int,Yes,MasterAnaDev,PDG of the particle that contributed the most to the gamma1 energy,,,
truth_gamma1_Parent_PDG,Pi0,Int,Yes,MasterAnaDev,PDG of the parent of the particle that contributed the most to the gamma1 energy,,,
truth_gamma1_from_decay,Pi0,Int,Yes,MasterAnaDev,bool if the gamma1 was created with a decay,,,
truth_gamma1_E,Pi0,Double,Yes,MasterAnaDev,True energy of the particle that contributed the most to the shower [MeV],,,
truth_gamma1_Parent_E,Pi0,Double,Yes,MasterAnaDev,True energy of the parent of the particle that contributed the most to the shower [MeV],,,
truth_gamma1_evis_ecal,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the ecal contributing to gamma1 [MeV],,,
truth_gamma1_evis_hcal,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the hcal contributing to gamma1 [MeV],,,
truth_gamma1_evis_scal_UV,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the UV views of side cal contributing to gamma1 [MeV],,,
truth_gamma1_evis_scal_X,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the X view of side cal contributing to gamma1 [MeV],,,
truth_gamma1_evis_total,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the detector contributing to gamma1 [MeV],,,
truth_gamma1_evis_trkr,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the tracker contributing to gamma1 [MeV],,,
truth_gamma1_fraction,Pi0,Double,Yes,MasterAnaDev,Fraction of the energy contributed by the truth selected particle ,,,
truth_gamma1_phi,Pi0,Double,Yes,MasterAnaDev,Truth phi angle of the truth selected particle,,,
truth_gamma1_px,Pi0,Double,Yes,MasterAnaDev,Truth x projection of the truth selected particle [MeV],,,
truth_gamma1_py,Pi0,Double,Yes,MasterAnaDev,Truth y projection of the truth selected particle [MeV],,,
truth_gamma1_pz,Pi0,Double,Yes,MasterAnaDev,Truth z projection of the truth selected particle [MeV],,,
truth_gamma1_theta,Pi0,Double,Yes,MasterAnaDev,Truth theta angle of the truth selected particle,,,
truth_gamma1_end_vertex[3],Pi0,Double,Yes,MasterAnaDev,array of Truth XYZ position of the last point of the trajectory,,,
truth_gamma1_vertex[3],Pi0,Double,Yes,MasterAnaDev,array of Truth XYZ position of the selected particle vertex,,,
gamma2_E,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the lowest energy reconstructed gamma (gamma2)  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_E_Old,Pi0,Double,No,MasterAnaDev,Legacy reconstructed energy of gamma 1  [MeV],Not properly calibrated : Recalibrated gamma energy: gamma2_energy_trkr * .97 + gamma2_evis_ecal * 3.1880501 + gamma2_energy_scal_UV*.97 + gamma2_energy_scal_X*0.97,,
gamma2_P,Pi0,Double,No,MasterAnaDev,Reconstructed momentum of gamma2  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_dEdx,Pi0,Double,No,MasterAnaDev,"dE/dX measurement of gamma2 using the first 4 planes of the shower dEdx/4planes --> DE is not calibrated for passive correction, dX is in unit of planes (/2.5cm)",Not properly calibrated User should rebuilt from individual gammas,,
gamma2_dist_vtx,Pi0,Double,No,MasterAnaDev,Distance to vertex of gamma2  [mm],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_energy_ecal,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma2 in the ECAL  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_energy_hcal,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma2 in the HCAL  [MeV] (=0 by default),Not properly calibrated User should rebuilt from individual gammas,,
gamma2_energy_scal_UV,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma2 in the UV views of side cal  [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_energy_scal_X,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma2 in the X view of side cal [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_energy_trkr,Pi0,Double,No,MasterAnaDev,Reconstructed energy of the gamma2 in the tracker [MeV],Not properly calibrated User should rebuilt from individual gammas,,
gamma2_evis_ecal,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma2 in the ECAL  [MeV],,,
gamma2_evis_hcal,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma2 in the HCAL  [MeV] (=0 by default),,,
gamma2_evis_scal_UV,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma2 in the UV views of side cal  [MeV],,,
gamma2_evis_scal_X,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma2 in the X view of side cal [MeV],,,
gamma2_evis_trkr,Pi0,Double,No,MasterAnaDev,pre-calibration energy of the gamma2 in the tracker [MeV],,,
gamma2_maxZ,Pi0,Double,No,MasterAnaDev,Highest Z position of the gamma2,,,
gamma2_phi,Pi0,Double,No,MasterAnaDev,Phi angle wrt beam of gamma2 [rad],,,
gamma2_px,Pi0,Double,No,MasterAnaDev,x projection of gamma2 [MeV],,,
gamma2_py,Pi0,Double,No,MasterAnaDev,y projection of gamma2 [MeV],,,
gamma2_pz,Pi0,Double,No,MasterAnaDev,z projection of gamma2 [MeV],,,
gamma2_theta,Pi0,Double,No,MasterAnaDev,theta angle wrt beam of gamma2 [rad],,,
gamma2_time,Pi0,Double,No,MasterAnaDev,Average time of the blob with respect to the start of the slice (not sure about the unit),,,
gamma2_direction[3],Pi0,Double,No,MasterAnaDev,3D vector of the gamma2 direction based on the energy barycenter composing the shower,,,
gamma2_end_vertex[3],Pi0,Double,No,MasterAnaDev,Legacy code not filled,,,
gamma2_vertex[3],Pi0,Double,No,MasterAnaDev,3D vector with the vertex of the shower,,,
truth_gamma2_PDG,Pi0,Int,Yes,MasterAnaDev,PDG of the particle that contributed the most to the gamma2 energy,,,
truth_gamma2_Parent_PDG,Pi0,Int,Yes,MasterAnaDev,PDG of the parent of the particle that contributed the most to the gamma2 energy,,,
truth_gamma2_from_decay,Pi0,Int,Yes,MasterAnaDev,bool if the gamma2 was created with a decay,,,
truth_gamma2_E,Pi0,Double,Yes,MasterAnaDev,True energy of the particle that contributed the most to the shower [MeV],,,
truth_gamma2_Parent_E,Pi0,Double,Yes,MasterAnaDev,True energy of the parent of the particle that contributed the most to the shower [MeV],,,
truth_gamma2_evis_ecal,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the ecal contributing to gamma2 [MeV],,,
truth_gamma2_evis_hcal,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the hcal contributing to gamma2 [MeV],,,
truth_gamma2_evis_scal_UV,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the UV views of side cal contributing to gamma2 [MeV],,,
truth_gamma2_evis_scal_X,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the X view of side cal contributing to gamma2 [MeV],,,
truth_gamma2_evis_total,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the detector contributing to gamma2 [MeV],,,
truth_gamma2_evis_trkr,Pi0,Double,Yes,MasterAnaDev,Truth energy deposited in the tracker contributing to gamma2 [MeV],,,
truth_gamma2_fraction,Pi0,Double,Yes,MasterAnaDev,Fraction of the energy contributed by the truth selected particle ,,,
truth_gamma2_phi,Pi0,Double,Yes,MasterAnaDev,Truth phi angle of the truth selected particle,,,
truth_gamma2_px,Pi0,Double,Yes,MasterAnaDev,Truth x projection of the truth selected particle [MeV],,,
truth_gamma2_py,Pi0,Double,Yes,MasterAnaDev,Truth y projection of the truth selected particle [MeV],,,
truth_gamma2_pz,Pi0,Double,Yes,MasterAnaDev,Truth z projection of the truth selected particle [MeV],,,
truth_gamma2_theta,Pi0,Double,Yes,MasterAnaDev,Truth theta angle of the truth selected particle,,,
truth_gamma2_end_vertex[3],Pi0,Double,Yes,MasterAnaDev,array of Truth XYZ position of the last point of the trajectory,,,
truth_gamma2_vertex[3],Pi0,Double,Yes,MasterAnaDev,array of Truth XYZ position of the selected particle vertex,,,
shower_isGood_sz,Pi0,Int,No,MasterAnaDev,number of showers,,,
